hp:0000001	all	all
hp:0000002	abnormality of body height	abnormality of body height
hp:0000002	abnormality of body height	abnormality of body height
hp:0000003	multicystic kidney dysplasia	multicystic kidney dysplasia
hp:0000003	multicystic kidney dysplasia	multicystic dysplastic kidney
hp:0000003	multicystic kidney dysplasia	multicystic kidneys
hp:0000003	multicystic kidney dysplasia	multicystic renal dysplasia
hp:0000005	mode of inheritance	mode of inheritance
hp:0000005	mode of inheritance	inheritance
hp:0000006	autosomal dominant inheritance	autosomal dominant inheritance
hp:0000006	autosomal dominant inheritance	autosomal dominant
hp:0000007	autosomal recessive inheritance	autosomal recessive inheritance
hp:0000007	autosomal recessive inheritance	autosomal recessive
hp:0000008	abnormality of female internal genitalia	abnormality of female internal genitalia
hp:0000009	functional abnormality of the bladder	functional abnormality of the bladder
hp:0000009	functional abnormality of the bladder	poor bladder function
hp:0000010	recurrent urinary tract infections	recurrent urinary tract infections
hp:0000010	recurrent urinary tract infections	frequent urinary tract infections
hp:0000010	recurrent urinary tract infections	urinary infection
hp:0000010	recurrent urinary tract infections	urinary tract infection
hp:0000010	recurrent urinary tract infections	urinary tract infections
hp:0000010	recurrent urinary tract infections	urinary tract infections, recurrent
hp:0000011	neurogenic bladder	neurogenic bladder
hp:0000012	urinary urgency	urinary urgency
hp:0000012	urinary urgency	urinary urgency
hp:0000012	urinary urgency	overactive bladder
hp:0000013	hypoplasia of the uterus	hypoplasia of the uterus
hp:0000013	hypoplasia of the uterus	hypoplastic uterus
hp:0000013	hypoplasia of the uterus	rudimentary uterus
hp:0000013	hypoplasia of the uterus	small uterus
hp:0000013	hypoplasia of the uterus	underdeveloped uterus
hp:0000014	abnormality of the bladder	abnormality of the bladder
hp:0000015	bladder diverticulum	bladder diverticulum
hp:0000015	bladder diverticulum	bladder diverticula
hp:0000016	urinary retention	urinary retention
hp:0000016	urinary retention	increased post-void residual urine volume
hp:0000017	nocturia	nocturia
hp:0000017	nocturia	nycturia
hp:0000019	urinary hesitancy	urinary hesitancy
hp:0000019	urinary hesitancy	difficulty with flow
hp:0000020	urinary incontinence	urinary incontinence
hp:0000020	urinary incontinence	bladder incontinence
hp:0000020	urinary incontinence	loss of bladder control
hp:0000021	megacystis	megacystis
hp:0000022	abnormality of male internal genitalia	abnormality of male internal genitalia
hp:0000023	inguinal hernia	inguinal hernia
hp:0000024	prostatitis	prostatitis
hp:0000024	prostatitis	inflammation of the prostate
hp:0000025	functional abnormality of male internal genitalia	functional abnormality of male internal genitalia
hp:0000026	male hypogonadism	male hypogonadism
hp:0000026	male hypogonadism	decreased function of male gonad
hp:0000027	azoospermia	azoospermia
hp:0000027	azoospermia	absent sperm in semen
hp:0000028	cryptorchidism	cryptorchidism
hp:0000028	cryptorchidism	undescended testes
hp:0000028	cryptorchidism	undescended testis
hp:0000028	cryptorchidism	cryptorchism
hp:0000029	testicular atrophy	testicular atrophy
hp:0000029	testicular atrophy	testicular degeneration
hp:0000030	testicular gonadoblastoma	testicular gonadoblastoma
hp:0000031	epididymitis	epididymitis
hp:0000032	abnormality of male external genitalia	abnormality of male external genitalia
hp:0000033	ambiguous genitalia, male	ambiguous genitalia, male
hp:0000033	ambiguous genitalia, male	ambiguous genitalia in males
hp:0000034	hydrocele testis	hydrocele testis
hp:0000034	hydrocele testis	testicular hydrocele
hp:0000035	abnormality of the testis	abnormality of the testis
hp:0000035	abnormality of the testis	abnormality of the testis
hp:0000035	abnormality of the testis	anomaly of the testes
hp:0000036	abnormality of the penis	abnormality of the penis
hp:0000036	abnormality of the penis	abnormality of the penis
hp:0000037	male pseudohermaphroditism	male pseudohermaphroditism
hp:0000039	epispadias	epispadias
hp:0000040	long penis	long penis
hp:0000040	long penis	enlarged penis
hp:0000040	long penis	long penis
hp:0000041	chordee	chordee
hp:0000042	absent external genitalia	absent external genitalia
hp:0000042	absent external genitalia	absent external genitalia
hp:0000044	hypogonadotrophic hypogonadism	hypogonadotrophic hypogonadism
hp:0000044	hypogonadotrophic hypogonadism	hypogonadism, hypogonadotropic
hp:0000044	hypogonadotrophic hypogonadism	low gonadotropins (secondary hypogonadism)
hp:0000045	abnormality of the scrotum	abnormality of the scrotum
hp:0000046	scrotal hypoplasia	scrotal hypoplasia
hp:0000046	scrotal hypoplasia	hypoplastic scrotum
hp:0000046	scrotal hypoplasia	smaller than typical growth of scrotum
hp:0000047	hypospadias	hypospadias
hp:0000047	hypospadias	hypospadia
hp:0000048	bifid scrotum	bifid scrotum
hp:0000048	bifid scrotum	scrotal cleft
hp:0000048	bifid scrotum	cleft of scrotum
hp:0000049	shawl scrotum	shawl scrotum
hp:0000049	shawl scrotum	overriding scrotum
hp:0000050	hypoplastic male external genitalia	hypoplastic male external genitalia
hp:0000050	hypoplastic male external genitalia	hypoplastic male genitalia
hp:0000050	hypoplastic male external genitalia	small male external genitalia
hp:0000050	hypoplastic male external genitalia	underdeveloped male genitalia
hp:0000051	perineal hypospadias	perineal hypospadias
hp:0000052	urethral atresia, male	urethral atresia, male
hp:0000053	macroorchidism	macroorchidism
hp:0000053	macroorchidism	large testicles
hp:0000053	macroorchidism	large testis
hp:0000054	micropenis	micropenis
hp:0000054	micropenis	short penis
hp:0000054	micropenis	small penis
hp:0000055	abnormality of female external genitalia	abnormality of female external genitalia
hp:0000055	abnormality of female external genitalia	abnormal female external genitalia
hp:0000056	abnormality of the clitoris	abnormality of the clitoris
hp:0000056	abnormality of the clitoris	abnormality of the clit
hp:0000058	abnormality of the labia	abnormality of the labia
hp:0000059	hypoplastic labia majora	hypoplastic labia majora
hp:0000059	hypoplastic labia majora	hypoplasia of labia majora
hp:0000059	hypoplastic labia majora	small labia majora
hp:0000059	hypoplastic labia majora	underdeveloped vaginal lips
hp:0000060	clitoral hypoplasia	clitoral hypoplasia
hp:0000060	clitoral hypoplasia	hypoplastic clitoris
hp:0000060	clitoral hypoplasia	small clitoris
hp:0000060	clitoral hypoplasia	underdeveloped clit
hp:0000061	ambiguous genitalia, female	ambiguous genitalia, female
hp:0000061	ambiguous genitalia, female	atypical appearance of female genitals
hp:0000062	ambiguous genitalia	ambiguous genitalia
hp:0000062	ambiguous genitalia	ambiguous external genitalia
hp:0000062	ambiguous genitalia	ambiguous external genitalia at birth
hp:0000062	ambiguous genitalia	intersex genitalia
hp:0000063	fused labia minora	fused labia minora
hp:0000063	fused labia minora	fused inner lips
hp:0000064	hypoplastic labia minora	hypoplastic labia minora
hp:0000064	hypoplastic labia minora	underdeveloped inner lips
hp:0000065	labial hypertrophy	labial hypertrophy
hp:0000065	labial hypertrophy	enlargement of the vaginal lips
hp:0000065	labial hypertrophy	enlargement of the labia
hp:0000066	labial hypoplasia	labial hypoplasia
hp:0000066	labial hypoplasia	hypoplastic labia
hp:0000066	labial hypoplasia	underdeveloped labia
hp:0000067	urethral atresia, female	urethral atresia, female
hp:0000068	urethral atresia	urethral atresia
hp:0000069	abnormality of the ureter	abnormality of the ureter
hp:0000069	abnormality of the ureter	abnormality of the ureters
hp:0000069	abnormality of the ureter	ureteral anomalies
hp:0000069	abnormality of the ureter	ureter issue
hp:0000070	ureterocele	ureterocele
hp:0000071	ureteral stenosis	ureteral stenosis
hp:0000071	ureteral stenosis	narrowing of the ureter
hp:0000072	hydroureter	hydroureter
hp:0000072	hydroureter	megaureter
hp:0000072	hydroureter	ureteral dilatation
hp:0000072	hydroureter	swelling of ureter
hp:0000073	ureteral duplication	ureteral duplication
hp:0000073	ureteral duplication	double ureter
hp:0000074	ureteropelvic junction obstruction	ureteropelvic junction obstruction
hp:0000074	ureteropelvic junction obstruction	pelviureteric junction obstruction
hp:0000075	renal duplication	renal duplication
hp:0000075	renal duplication	extra kidney
hp:0000076	vesicoureteral reflux	vesicoureteral reflux
hp:0000076	vesicoureteral reflux	ureteral reflux
hp:0000076	vesicoureteral reflux	ureteric reflux
hp:0000076	vesicoureteral reflux	vesicoureteric reflux
hp:0000077	abnormality of the kidney	abnormality of the kidney
hp:0000077	abnormality of the kidney	abnormality of the kidney
hp:0000077	abnormality of the kidney	renal anomalies
hp:0000077	abnormality of the kidney	renal anomaly
hp:0000077	abnormality of the kidney	abnormal kidney
hp:0000078	abnormality of the genital system	abnormality of the genital system
hp:0000078	abnormality of the genital system	genital abnormalities
hp:0000078	abnormality of the genital system	genital abnormality
hp:0000078	abnormality of the genital system	genital anomalies
hp:0000078	abnormality of the genital system	genital defects
hp:0000079	abnormality of the urinary system	abnormality of the urinary system
hp:0000079	abnormality of the urinary system	urinary tract abnormalities
hp:0000079	abnormality of the urinary system	urinary tract abnormality
hp:0000079	abnormality of the urinary system	urinary tract anomalies
hp:0000080	abnormality of reproductive system physiology	abnormality of reproductive system physiology
hp:0000080	abnormality of reproductive system physiology	abnormality of reproductive system physiology
hp:0000080	abnormality of reproductive system physiology	genital functional abnormality
hp:0000081	duplicated collecting system	duplicated collecting system
hp:0000081	duplicated collecting system	double collecting system
hp:0000081	duplicated collecting system	double urinary collecting systems on intravenous pyelography
hp:0000081	duplicated collecting system	duplicated renal collecting system
hp:0000081	duplicated collecting system	duplex collecting system
hp:0000083	renal insufficiency	renal insufficiency
hp:0000083	renal insufficiency	renal failure
hp:0000083	renal insufficiency	renal failure in adulthood
hp:0000085	horseshoe kidney	horseshoe kidney
hp:0000085	horseshoe kidney	horseshoe kidney
hp:0000085	horseshoe kidney	horseshoe kidneys
hp:0000086	ectopic kidney	ectopic kidney
hp:0000086	ectopic kidney	displaced kidney
hp:0000086	ectopic kidney	ectopic kidneys
hp:0000086	ectopic kidney	renal ectopia
hp:0000086	ectopic kidney	abnormal kidney location
hp:0000089	renal hypoplasia	renal hypoplasia
hp:0000089	renal hypoplasia	hypoplastic kidney
hp:0000089	renal hypoplasia	hypoplastic kidneys
hp:0000089	renal hypoplasia	small kidneys
hp:0000089	renal hypoplasia	underdeveloped kidneys
hp:0000090	nephronophthisis	nephronophthisis
hp:0000090	nephronophthisis	juvenile nephronophthisis
hp:0000091	abnormality of the renal tubule	abnormality of the renal tubule
hp:0000092	tubular atrophy	tubular atrophy
hp:0000092	tubular atrophy	renal tubular cell atrophy
hp:0000093	proteinuria	proteinuria
hp:0000093	proteinuria	protein in urine
hp:0000093	proteinuria	high urine protein levels
hp:0000095	abnormality of renal glomerulus morphology	abnormality of renal glomerulus morphology
hp:0000096	glomerulosclerosis	glomerulosclerosis
hp:0000097	focal segmental glomerulosclerosis	focal segmental glomerulosclerosis
hp:0000097	focal segmental glomerulosclerosis	focal and segmental glomerular sclerosis
hp:0000097	focal segmental glomerulosclerosis	focal and segmental glomerulosclerosis
hp:0000097	focal segmental glomerulosclerosis	focal glomerulosclerosis
hp:0000098	tall stature	tall stature
hp:0000098	tall stature	accelerated linear growth
hp:0000098	tall stature	increased body height
hp:0000098	tall stature	increased linear growth
hp:0000098	tall stature	tall stature
hp:0000099	glomerulonephritis	glomerulonephritis
hp:0000099	glomerulonephritis	glomerular nephritis
hp:0000100	nephrotic syndrome	nephrotic syndrome
hp:0000100	nephrotic syndrome	nephrosis
hp:0000103	polyuria	polyuria
hp:0000103	polyuria	increased urine output
hp:0000104	renal agenesis	renal agenesis
hp:0000104	renal agenesis	absent kidney
hp:0000104	renal agenesis	renal aplasia
hp:0000104	renal agenesis	missing kidney
hp:0000105	enlarged kidney	enlarged kidney
hp:0000105	enlarged kidney	enlarged kidney
hp:0000105	enlarged kidney	large kidneys
hp:0000105	enlarged kidney	nephromegaly
hp:0000105	enlarged kidney	renal enlargement
hp:0000107	renal cyst	renal cyst
hp:0000107	renal cyst	kidney cyst
hp:0000108	renal corticomedullary cysts	renal corticomedullary cysts
hp:0000108	renal corticomedullary cysts	corticomedullary renal cysts
hp:0000110	renal dysplasia	renal dysplasia
hp:0000110	renal dysplasia	dysplastic kidneys
hp:0000110	renal dysplasia	renal adysplasia
hp:0000111	renal juxtaglomerular cell hypertrophy/hyperplasia	renal juxtaglomerular cell hypertrophy/hyperplasia
hp:0000112	nephropathy	nephropathy
hp:0000113	polycystic kidney dysplasia	polycystic kidney dysplasia
hp:0000113	polycystic kidney dysplasia	enlarged polycystic kidneys
hp:0000113	polycystic kidney dysplasia	polycystic kidneys
hp:0000114	proximal tubulopathy	proximal tubulopathy
hp:0000114	proximal tubulopathy	proximal renal tubule defect
hp:0000114	proximal tubulopathy	proximal renal tubulopathy
hp:0000114	proximal tubulopathy	proximal tubular defect
hp:0000114	proximal tubulopathy	proximal tubule dysfunction
hp:0000114	proximal tubulopathy	selective proximal tubular damage
hp:0000117	renal phosphate wasting	renal phosphate wasting
hp:0000117	renal phosphate wasting	decreased renal tubular phosphate reabsorption
hp:0000117	renal phosphate wasting	decreased tubular maximum for phosphate reabsorption per glomerular filtration rate
hp:0000117	renal phosphate wasting	tubular phosphate reabsorption low
hp:0000118	phenotypic abnormality	phenotypic abnormality
hp:0000118	phenotypic abnormality	organ abnormality
hp:0000119	abnormality of the genitourinary system	abnormality of the genitourinary system
hp:0000119	abnormality of the genitourinary system	genitourinary abnormality
