orpha:10	48,xxyy syndrome	48,xxyy syndrome
orpha:100	ataxia-telangiectasia	ataxia-telangiectasia
orpha:100	ataxia-telangiectasia	louis-bar syndrome
orpha:1000	ocular albinism with late-onset sensorineural deafness	ocular albinism with late-onset sensorineural deafness
orpha:100000	reticular perineurioma	reticular perineurioma
orpha:100001	sclerosing perineurioma	sclerosing perineurioma
orpha:100002	extraneural perineurioma	extraneural perineurioma
orpha:100002	extraneural perineurioma	soft tissue perineurioma
orpha:100003	intraneural perineurioma	intraneural perineurioma
orpha:100006	abeta amyloidosis, dutch type	abeta amyloidosis, dutch type
orpha:100006	abeta amyloidosis, dutch type	abetae22q amyloidosis
orpha:100006	abeta amyloidosis, dutch type	hchwa, dutch type
orpha:100006	abeta amyloidosis, dutch type	hchwa-d
orpha:100006	abeta amyloidosis, dutch type	hereditary cerebral hemorrhage with amyloidosis, dutch type
orpha:100008	acys amyloidosis	acys amyloidosis
orpha:100008	acys amyloidosis	cst3-related amyloidosis
orpha:100008	acys amyloidosis	cystatin amyloidosis
orpha:100008	acys amyloidosis	hchwa, icelandic type
orpha:100008	acys amyloidosis	hereditary cerebral hemorrhage with amyloidosis, icelandic type
orpha:100008	acys amyloidosis	hereditary cystatin c amyloid angiopathy
orpha:100011	lissencephaly with cerebellar hypoplasia type a	lissencephaly with cerebellar hypoplasia type a
orpha:100012	lissencephaly with cerebellar hypoplasia type b	lissencephaly with cerebellar hypoplasia type b
orpha:100013	lissencephaly with cerebellar hypoplasia type c	lissencephaly with cerebellar hypoplasia type c
orpha:100014	lissencephaly with cerebellar hypoplasia type d	lissencephaly with cerebellar hypoplasia type d
orpha:100015	lissencephaly with cerebellar hypoplasia type e	lissencephaly with cerebellar hypoplasia type e
orpha:100016	lissencephaly with cerebellar hypoplasia type f	lissencephaly with cerebellar hypoplasia type f
orpha:100019	refractory anemia with excess blasts type 1	refractory anemia with excess blasts type 1
orpha:100019	refractory anemia with excess blasts type 1	raeb-1
orpha:100020	refractory anemia with excess blasts type 2	refractory anemia with excess blasts type 2
orpha:100020	refractory anemia with excess blasts type 2	raeb-2
orpha:100021	primary plasmacytoma of the bone	primary plasmacytoma of the bone
orpha:100022	extramedullary soft tissue plasmacytoma	extramedullary soft tissue plasmacytoma
orpha:100024	mu-heavy chain disease	mu-heavy chain disease
orpha:100024	mu-heavy chain disease	mu-hcd
